n	d	method	lam	func_name	total_qubits	raw_depth	decomp_depth	cnot_count	t_count_estimate	unique_2q_pairs	max_2q_pairs	connectivity_density	max_fanout	verified	verification_passed	build_time_s	transpile_time_s	verify_time_s	error
2	2	naive	0	bijection	4	11	62	36	42	5	6	0.8333	3	True	True	0.000	0.342	0.001	
2	2	naive	0	identity	4	7	42	24	28	5	6	0.8333	3	True	True	0.000	0.001	0.000	
2	2	naive	0	constant	4	13	82	48	56	5	6	0.8333	3	True	True	0.000	0.001	0.001	
2	2	selectswap	1	bijection	6	23	125	74	84	7	15	0.4667	3	True	True	0.000	0.001	0.001	
2	2	selectswap	1	identity	6	19	85	50	56	7	15	0.4667	3	True	True	0.000	0.001	0.001	
2	2	selectswap	1	constant	6	27	165	98	112	7	15	0.4667	3	True	True	0.000	0.001	0.001	
2	2	selectswap	2	bijection	8	21	59	46	28	11	28	0.3929	4	True	True	0.000	0.001	0.001	
2	2	selectswap	2	identity	8	17	55	42	28	11	28	0.3929	4	True	True	0.000	0.001	0.001	
2	2	selectswap	2	constant	8	25	63	50	28	12	28	0.4286	4	True	True	0.000	0.001	0.001	
2	2	selectswap	4	bijection	12	13	103	98	84	20	66	0.3030	8	True	True	0.000	0.001	0.004	
2	2	selectswap	4	identity	12	13	103	98	84	20	66	0.3030	8	True	True	0.000	0.001	0.003	
2	2	selectswap	4	constant	12	13	103	98	84	20	66	0.3030	8	True	True	0.000	0.001	0.004	
2	3	naive	0	bijection	5	13	82	48	56	7	10	0.7000	4	True	True	0.000	0.001	0.001	
2	3	naive	0	identity	5	7	42	24	28	5	10	0.5000	3	True	True	0.000	0.001	0.000	
2	3	naive	0	constant	5	17	122	72	84	7	10	0.7000	4	True	True	0.000	0.001	0.001	
2	3	selectswap	1	bijection	8	27	165	99	112	10	28	0.3571	4	True	True	0.000	0.001	0.002	
2	3	selectswap	1	identity	8	19	85	51	56	8	28	0.2857	3	True	True	0.000	0.001	0.001	
2	3	selectswap	1	constant	8	35	245	147	168	10	28	0.3571	4	True	True	0.000	0.001	0.002	
2	3	selectswap	2	bijection	11	27	79	67	42	17	55	0.3091	6	True	True	0.000	0.001	0.004	
2	3	selectswap	2	identity	11	19	71	59	42	15	55	0.2727	6	True	True	0.000	0.001	0.003	
2	3	selectswap	2	constant	11	35	87	75	42	18	55	0.3273	6	True	True	0.000	0.001	0.004	
2	3	selectswap	4	bijection	17	17	135	147	126	30	136	0.2206	12	True	True	0.000	0.001	0.161	
2	3	selectswap	4	identity	17	17	135	147	126	30	136	0.2206	12	True	True	0.000	0.002	0.120	
2	3	selectswap	4	constant	17	17	135	147	126	30	136	0.2206	12	True	True	0.000	0.002	0.171	
2	4	naive	0	bijection	6	13	82	48	56	7	15	0.4667	4	True	True	0.000	0.002	0.001	
2	4	naive	0	identity	6	7	42	24	28	5	15	0.3333	3	True	True	0.000	0.001	0.001	
2	4	naive	0	constant	6	21	162	96	112	9	15	0.6000	5	True	True	0.000	0.002	0.001	
2	4	selectswap	1	bijection	10	27	165	100	112	11	45	0.2444	4	True	True	0.000	0.001	0.003	
2	4	selectswap	1	identity	10	19	85	52	56	9	45	0.2000	3	True	True	0.000	0.001	0.002	
2	4	selectswap	1	constant	10	43	325	196	224	13	45	0.2889	5	True	True	0.000	0.001	0.004	
2	4	selectswap	2	bijection	14	29	95	84	56	21	91	0.2308	8	True	True	0.000	0.001	0.018	
2	4	selectswap	2	identity	14	21	87	76	56	19	91	0.2088	8	True	True	0.000	0.001	0.013	
2	4	selectswap	2	constant	14	45	111	100	56	24	91	0.2637	8	True	True	0.000	0.001	0.027	
2	4	selectswap	4	bijection	22	21	167	196	168	40	231	0.1732	16	True	True	0.000	0.002	16.741	
2	4	selectswap	4	identity	22	21	167	196	168	40	231	0.1732	16	True	True	0.000	0.005	12.170	
2	4	selectswap	4	constant	22	21	167	196	168	40	231	0.1732	16	True	True	0.000	0.002	24.463	
2	5	naive	0	bijection	7	13	82	48	56	7	21	0.3333	4	True	True	0.000	0.002	0.002	
2	5	naive	0	identity	7	7	42	24	28	5	21	0.2381	3	True	True	0.000	0.001	0.001	
2	5	naive	0	constant	7	25	202	120	140	11	21	0.5238	6	True	True	0.000	0.001	0.001	
2	5	selectswap	1	bijection	12	27	165	101	112	12	66	0.1818	4	True	True	0.000	0.002	0.006	
2	5	selectswap	1	identity	12	19	85	53	56	10	66	0.1515	3	True	True	0.000	0.002	0.005	
2	5	selectswap	1	constant	12	51	405	245	280	16	66	0.2424	6	True	True	0.000	0.002	0.008	
2	5	selectswap	2	bijection	17	31	111	101	70	25	136	0.1838	10	True	True	0.000	0.001	0.173	
2	5	selectswap	2	identity	17	23	103	93	70	23	136	0.1691	10	True	True	0.000	0.002	0.135	
2	5	selectswap	2	constant	17	55	135	125	70	30	136	0.2206	10	True	True	0.000	0.002	0.341	
2	5	selectswap	4	bijection	27	25	199	245	210	50	351	0.1425	20	False	False	0.000	0.003	0.000	
2	5	selectswap	4	identity	27	25	199	245	210	50	351	0.1425	20	False	False	0.000	0.002	0.000	
2	5	selectswap	4	constant	27	25	199	245	210	50	351	0.1425	20	False	False	0.000	0.002	0.000	
2	6	naive	0	bijection	8	13	82	48	56	7	28	0.2500	4	True	True	0.000	0.001	0.001	
2	6	naive	0	identity	8	7	42	24	28	5	28	0.1786	3	True	True	0.000	0.002	0.001	
2	6	naive	0	constant	8	29	242	144	168	13	28	0.4643	7	True	True	0.000	0.002	0.002	
2	6	selectswap	1	bijection	14	27	165	102	112	13	91	0.1429	4	True	True	0.000	0.002	0.022	
2	6	selectswap	1	identity	14	19	85	54	56	11	91	0.1209	3	True	True	0.000	0.001	0.018	
2	6	selectswap	1	constant	14	59	485	294	336	19	91	0.2088	7	True	True	0.000	0.002	0.034	
2	6	selectswap	2	bijection	20	33	127	118	84	29	190	0.1526	12	True	True	0.000	0.002	3.215	
2	6	selectswap	2	identity	20	25	119	110	84	27	190	0.1421	12	True	True	0.000	0.002	2.535	
2	6	selectswap	2	constant	20	65	159	150	84	36	190	0.1895	12	True	True	0.000	0.002	5.988	
2	6	selectswap	4	bijection	32	29	231	294	252	60	496	0.1210	24	False	False	0.000	0.003	0.000	
2	6	selectswap	4	identity	32	29	231	294	252	60	496	0.1210	24	False	False	0.000	0.002	0.000	
2	6	selectswap	4	constant	32	29	231	294	252	60	496	0.1210	24	False	False	0.000	0.002	0.000	
2	7	naive	0	bijection	9	13	82	48	56	7	36	0.1944	4	True	True	0.000	0.001	0.001	
2	7	naive	0	identity	9	7	42	24	28	5	36	0.1389	3	True	True	0.000	0.001	0.001	
2	7	naive	0	constant	9	33	282	168	196	15	36	0.4167	8	True	True	0.000	0.002	0.002	
2	7	selectswap	1	bijection	16	27	165	103	112	14	120	0.1167	4	True	True	0.000	0.002	0.086	
2	7	selectswap	1	identity	16	19	85	55	56	12	120	0.1000	3	True	True	0.000	0.002	0.066	
2	7	selectswap	1	constant	16	67	565	343	392	22	120	0.1833	8	True	True	0.000	0.002	0.134	
2	7	selectswap	2	bijection	23	35	143	135	98	33	253	0.1304	14	True	True	0.000	0.027	28.849	
2	7	selectswap	2	identity	23	27	135	127	98	31	253	0.1225	14	True	True	0.000	0.002	22.878	
2	7	selectswap	2	constant	23	75	183	175	98	42	253	0.1660	14	True	True	0.000	0.002	59.232	
2	7	selectswap	4	bijection	37	33	263	343	294	70	666	0.1051	28	False	False	0.000	0.002	0.000	
2	7	selectswap	4	identity	37	33	263	343	294	70	666	0.1051	28	False	False	0.000	0.002	0.000	
2	7	selectswap	4	constant	37	33	263	343	294	70	666	0.1051	28	False	False	0.000	0.002	0.000	
2	8	naive	0	bijection	10	13	82	48	56	7	45	0.1556	4	True	True	0.000	0.001	0.001	
2	8	naive	0	identity	10	7	42	24	28	5	45	0.1111	3	True	True	0.000	0.001	0.001	
2	8	naive	0	constant	10	37	322	192	224	17	45	0.3778	9	True	True	0.000	0.001	0.003	
2	8	selectswap	1	bijection	18	27	165	104	112	15	153	0.0980	4	True	True	0.000	0.002	0.388	
2	8	selectswap	1	identity	18	19	85	56	56	13	153	0.0850	3	True	True	0.000	0.002	0.338	
2	8	selectswap	1	constant	18	75	645	392	448	25	153	0.1634	9	True	True	0.000	0.003	0.763	
2	8	selectswap	2	bijection	26	37	159	152	112	37	325	0.1138	16	False	False	0.000	0.002	0.000	
2	8	selectswap	2	identity	26	29	151	144	112	35	325	0.1077	16	False	False	0.000	0.001	0.000	
2	8	selectswap	2	constant	26	85	207	200	112	48	325	0.1477	16	False	False	0.000	0.002	0.000	
2	8	selectswap	4	bijection	42	37	295	392	336	80	861	0.0929	32	False	False	0.000	0.002	0.000	
2	8	selectswap	4	identity	42	37	295	392	336	80	861	0.0929	32	False	False	0.000	0.002	0.000	
2	8	selectswap	4	constant	42	37	295	392	336	80	861	0.0929	32	False	False	0.000	0.002	0.000	
3	2	naive	0	bijection	5	24	303	162	168	10	10	1.0000	4	True	True	0.001	0.006	0.035	
3	2	naive	0	identity	5	16	206	110	112	10	10	1.0000	4	True	True	0.000	0.004	0.023	
3	2	naive	0	constant	5	28	414	222	224	10	10	1.0000	4	True	True	0.001	0.007	0.046	
3	2	selectswap	1	bijection	7	49	523	282	336	15	21	0.7143	5	True	True	0.001	0.008	0.075	
3	2	selectswap	1	identity	7	41	361	194	224	15	21	0.7143	5	True	True	0.001	0.006	0.051	
3	2	selectswap	1	constant	7	57	667	362	448	15	21	0.7143	5	True	True	0.001	0.009	0.098	
3	2	selectswap	2	bijection	9	39	287	178	196	15	36	0.4167	5	True	True	0.000	0.002	0.006	
3	2	selectswap	2	identity	9	31	207	130	140	15	36	0.4167	5	True	True	0.000	0.002	0.005	
3	2	selectswap	2	constant	9	47	367	226	252	17	36	0.4722	5	True	True	0.000	0.002	0.007	
3	2	selectswap	4	bijection	13	39	129	122	84	26	78	0.3333	8	True	True	0.000	0.002	0.018	
3	2	selectswap	4	identity	13	31	121	114	84	24	78	0.3077	8	True	True	0.000	0.001	0.015	
3	2	selectswap	4	constant	13	47	137	130	84	28	78	0.3590	8	True	True	0.000	0.001	0.021	
3	2	selectswap	8	bijection	21	23	193	226	196	44	210	0.2095	16	True	True	0.000	0.002	20.981	
3	2	selectswap	8	identity	21	23	193	226	196	44	210	0.2095	16	True	True	0.000	0.002	16.618	
3	2	selectswap	8	constant	21	23	193	226	196	44	210	0.2095	16	True	True	0.000	0.003	24.796	
3	3	naive	0	bijection	6	28	400	214	224	15	15	1.0000	5	True	True	0.001	0.007	0.047	
3	3	naive	0	identity	6	22	284	152	168	15	15	1.0000	5	True	True	0.001	0.006	0.035	
3	3	naive	0	constant	6	36	618	332	336	14	15	0.9333	5	True	True	0.001	0.010	0.071	
3	3	selectswap	1	bijection	9	57	667	363	448	20	36	0.5556	6	True	True	0.001	0.009	0.120	
3	3	selectswap	1	identity	9	49	514	279	336	20	36	0.5556	6	True	True	0.001	0.007	0.089	
3	3	selectswap	1	constant	9	73	955	523	672	20	36	0.5556	6	True	True	0.002	0.013	0.177	
3	3	selectswap	2	bijection	12	49	383	243	266	23	66	0.3485	6	True	True	0.000	0.002	0.019	
3	3	selectswap	2	identity	12	41	303	195	210	23	66	0.3485	6	True	True	0.000	0.002	0.016	
3	3	selectswap	2	constant	12	65	543	339	378	25	66	0.3788	7	True	True	0.000	0.002	0.024	
3	3	selectswap	4	bijection	18	51	169	179	126	38	153	0.2484	12	True	True	0.000	0.002	1.146	
3	3	selectswap	4	identity	18	43	161	171	126	38	153	0.2484	12	True	True	0.000	0.002	0.944	
3	3	selectswap	4	constant	18	67	185	195	126	42	153	0.2745	12	True	True	0.000	0.002	1.338	
3	3	selectswap	8	bijection	30	31	257	339	294	66	435	0.1517	24	False	False	0.000	0.002	0.000	
3	3	selectswap	8	identity	30	31	257	339	294	66	435	0.1517	24	False	False	0.000	0.002	0.000	
3	3	selectswap	8	constant	30	31	257	339	294	66	435	0.1517	24	False	False	0.000	0.002	0.000	
3	4	naive	0	bijection	7	32	458	246	280	21	21	1.0000	6	True	True	0.001	0.006	0.062	
3	4	naive	0	identity	7	22	200	108	168	16	21	0.7619	6	True	True	0.001	0.003	0.037	
3	4	naive	0	constant	7	44	822	442	448	18	21	0.8571	6	True	True	0.001	0.013	0.096	
3	4	selectswap	1	bijection	11	65	811	444	560	25	55	0.4545	7	True	True	0.002	0.011	0.268	
3	4	selectswap	1	identity	11	49	514	280	336	21	55	0.3818	6	True	True	0.001	0.007	0.162	
3	4	selectswap	1	constant	11	89	1243	684	896	25	55	0.4545	7	True	True	0.002	0.016	0.421	
3	4	selectswap	2	bijection	15	59	479	308	336	31	105	0.2952	8	True	True	0.000	0.002	0.150	
3	4	selectswap	2	identity	15	43	319	212	224	27	105	0.2571	8	True	True	0.000	0.002	0.115	
3	4	selectswap	2	constant	15	83	719	452	504	33	105	0.3143	9	True	True	0.000	0.003	0.203	
3	4	selectswap	4	bijection	23	63	209	236	168	52	253	0.2055	16	True	True	0.000	0.002	98.789	
3	4	selectswap	4	identity	23	47	193	220	168	48	253	0.1897	16	True	True	0.000	0.002	75.204	
3	4	selectswap	4	constant	23	87	233	260	168	56	253	0.2213	16	True	True	0.000	0.002	133.543	
3	4	selectswap	8	bijection	39	39	321	452	392	88	741	0.1188	32	False	False	0.001	0.003	0.000	
3	4	selectswap	8	identity	39	39	321	452	392	88	741	0.1188	32	False	False	0.000	0.002	0.000	
3	4	selectswap	8	constant	39	39	321	452	392	88	741	0.1188	32	False	False	0.000	0.002	0.000	
3	5	naive	0	bijection	8	32	325	178	280	23	28	0.8214	7	True	True	0.001	0.003	0.067	
3	5	naive	0	identity	8	22	200	108	168	16	28	0.5714	6	True	True	0.001	0.003	0.040	
3	5	naive	0	constant	8	52	1026	552	560	22	28	0.7857	7	True	True	0.002	0.014	0.129	
3	5	selectswap	1	bijection	13	65	811	445	560	26	78	0.3333	7	True	True	0.002	0.012	0.998	
3	5	selectswap	1	identity	13	49	514	281	336	22	78	0.2821	6	True	True	0.001	0.007	0.363	
3	5	selectswap	1	constant	13	105	1531	845	1120	30	78	0.3846	8	True	True	0.003	0.052	1.857	
